Gare de Yverdon-les-Bains
État au 23 janvier 2025
Heure de départ      Ligne   Destination         Vias                                                                                                                                                                                                   Voie
13 29             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
13 31             IC 5    Zürich HB           Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Zürich HB                                                                                                                           1
13 33             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
13 34             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
13 45             R       Grandson            Grandson                                                                                                                                                                                               1
13 47             R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                         2
13 59             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
14 01             IC 5    Rorschach           Neuchâtel, Biel/Bienne, Solothurn, Bahn-2000-Strecke, Olten, Aarau, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen, Rorschach                                                                     1
14 04             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
14 05             R       Biel/Bienne         Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel, St-Blaise CFF, Cornaux NE, Cressier NE, Le Landeron, La Neuveville, Twann, Tüscherz, Biel/Bienne   3AB
14 15             R       Grandson            Grandson                                                                                                                                                                                               1
14 17             R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                      2
14 29             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
14 31             IC 5    St. Gallen          Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen                                                                                 1
14 33             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
14 45             R       Grandson            Grandson                                                                                                                                                                                               1
Heure de départ   Ligne   Destination         Vias                                                                                                                                                                                                   Voie
14 47             R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                         2
14 59             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
15 01             IC 5    Rorschach           Neuchâtel, Biel/Bienne, Solothurn, Bahn-2000-Strecke, Olten, Aarau, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen, Rorschach                                                                     1
15 04             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
15 05             R       Biel/Bienne         Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel, St-Blaise CFF, Cornaux NE, Cressier NE, Le Landeron, La Neuveville, Twann, Tüscherz, Biel/Bienne   3AB
15 15             R       Grandson            Grandson                                                                                                                                                                                               1
15 17             R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                      2
15 29             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
15 31             IC 5    Zürich HB           Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Zürich HB                                                                                                                           1
15 33             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
15 34             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
15 45             R       Grandson            Grandson                                                                                                                                                                                               1
15 47             R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                         2
15 59             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
16 01             IC 5    Rorschach           Neuchâtel, Biel/Bienne, Solothurn, Bahn-2000-Strecke, Olten, Aarau, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen, Rorschach                                                                     1
16 03             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
16 04             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
16 05             R       Biel/Bienne         Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel, St-Blaise CFF, Cornaux NE, Cressier NE, Le Landeron, La Neuveville, Twann, Tüscherz, Biel/Bienne   3AB
16 15             R       Grandson            Grandson                                                                                                                                                                                               1
16 17             R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                      2
16 29             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
16 31             IC 5    St. Gallen          Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen                                                                                 1
16 33             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
